DATE,USD12MD156N
2010-10-28,0.76400
2010-10-29,0.76219
2010-11-01,0.76038
2010-11-02,0.76038
2010-11-03,0.76038
2010-11-04,0.75600
2010-11-05,0.75525
2010-11-08,0.75556
2010-11-09,0.75875
2010-11-10,0.75906
2010-11-11,0.75906
2010-11-12,0.76281
2010-11-15,0.76481
2010-11-16,0.76250
2010-11-17,0.76250
2010-11-18,0.76325
2010-11-19,0.76313
2010-11-22,0.76313
2010-11-23,0.76313
2010-11-24,0.76650
2010-11-25,0.78025
2010-11-26,0.78463
2010-11-29,0.78494
2010-11-30,0.78656
2010-12-01,0.79000
2010-12-02,0.79000
2010-12-03,0.78794
2010-12-06,0.78250
2010-12-07,0.78125
2010-12-08,0.78250
2010-12-09,0.78250
2010-12-10,0.78250
2010-12-13,0.78500
2010-12-14,0.78375
2010-12-15,0.78344
2010-12-16,0.78513
2010-12-17,0.78388
2010-12-20,0.78325
2010-12-21,0.78325
2010-12-22,0.78313
2010-12-23,0.78313
2010-12-24,0.78313
2010-12-27,.
2010-12-28,.
2010-12-29,0.78313
2010-12-30,0.78156
2010-12-31,0.78094
2011-01-03,.
2011-01-04,0.78094
2011-01-05,0.78094
2011-01-06,0.78525
2011-01-07,0.78550
2011-01-10,0.78400
2011-01-11,0.78388
2011-01-12,0.78375
2011-01-13,0.78375
2011-01-14,0.78219
2011-01-17,0.77969
2011-01-18,0.77906
2011-01-19,0.78031
2011-01-20,0.78031
2011-01-21,0.78063
2011-01-24,0.78094
2011-01-25,0.78094
2011-01-26,0.78125
2011-01-27,0.78125
2011-01-28,0.78063
2011-01-31,0.78125
2011-02-01,0.78550
2011-02-02,0.78605
2011-02-03,0.78860
2011-02-04,0.79125
2011-02-07,0.79275
2011-02-08,0.79325
2011-02-09,0.79900
2011-02-10,0.79700
2011-02-11,0.79650
2011-02-14,0.79750
2011-02-15,0.79875
2011-02-16,0.79775
2011-02-17,0.79575
2011-02-18,0.79500
2011-02-21,0.79300
2011-02-22,0.79275
2011-02-23,0.79375
2011-02-24,0.79125
2011-02-25,0.79225
2011-02-28,0.79025
2011-03-01,0.78875
2011-03-02,0.78625
2011-03-03,0.78725
2011-03-04,0.79200
2011-03-07,0.78650
2011-03-08,0.78450
2011-03-09,0.78550
2011-03-10,0.78550
2011-03-11,0.78000
2011-03-14,0.77750
2011-03-15,0.76850
2011-03-16,0.77150
2011-03-17,0.77250
2011-03-18,0.77050
2011-03-21,0.77200
2011-03-22,0.77450
2011-03-23,0.77450
2011-03-24,0.77550
2011-03-25,0.77650
2011-03-28,0.77950
2011-03-29,0.77950
2011-03-30,0.78200
2011-03-31,0.78250
2011-04-01,0.78525
2011-04-04,0.78100
2011-04-05,0.77775
2011-04-06,0.77825
2011-04-07,0.77775
2011-04-08,0.77725
2011-04-11,0.77400
2011-04-12,0.77250
2011-04-13,0.77150
2011-04-14,0.76500
2011-04-15,0.76500
2011-04-18,0.76275
2011-04-19,0.76250
2011-04-20,0.76300
2011-04-21,0.76200
2011-04-22,.
2011-04-25,.
2011-04-26,0.76200
2011-04-27,0.76250
2011-04-28,0.76100
2011-04-29,.
2011-05-02,.
2011-05-03,0.75775
2011-05-04,0.75625
2011-05-05,0.75200
2011-05-06,0.74900
2011-05-09,0.74650
2011-05-10,0.74350
2011-05-11,0.74250
2011-05-12,0.73800
2011-05-13,0.73800
2011-05-16,0.73550
2011-05-17,0.73550
2011-05-18,0.73475
2011-05-19,0.73700
2011-05-20,0.73300
2011-05-23,0.73050
2011-05-24,0.73175
2011-05-25,0.73125
2011-05-26,0.73125
2011-05-27,0.72950
2011-05-30,.
2011-05-31,0.72950
2011-06-01,0.72950
2011-06-02,0.72725
2011-06-03,0.72725
2011-06-06,0.72500
2011-06-07,0.72500
2011-06-08,0.72175
2011-06-09,0.72250
2011-06-10,0.72250
2011-06-13,0.72025
2011-06-14,0.72025
2011-06-15,0.72125
2011-06-16,0.72725
2011-06-17,0.72775
2011-06-20,0.72775
2011-06-21,0.72775
2011-06-22,0.72625
2011-06-23,0.72725
2011-06-24,0.72875
2011-06-27,0.73250
2011-06-28,0.73500
2011-06-29,0.73500
2011-06-30,0.73350
2011-07-01,0.73400
2011-07-04,0.73450
2011-07-05,0.73450
2011-07-06,0.73500
2011-07-07,0.73525
2011-07-08,0.73575
2011-07-11,0.73475
2011-07-12,0.74050
2011-07-13,0.74250
2011-07-14,0.74300
2011-07-15,0.74350
2011-07-18,0.74850
2011-07-19,0.74975
2011-07-20,0.75125
2011-07-21,0.75175
2011-07-22,0.75225
2011-07-25,0.75425
2011-07-26,0.75475
2011-07-27,0.75600
2011-07-28,0.75775
2011-07-29,0.76025
2011-08-01,0.75944
2011-08-02,0.76306
2011-08-03,0.76500
2011-08-04,0.76611
2011-08-05,0.76472
2011-08-08,0.76667
2011-08-09,0.76994
2011-08-10,0.76661
2011-08-11,0.76961
2011-08-12,0.77283
2011-08-15,0.77483
2011-08-16,0.77594
2011-08-17,0.77761
2011-08-18,0.78017
2011-08-19,0.78439
2011-08-22,0.78817
2011-08-23,0.79233
2011-08-24,0.79456
2011-08-25,0.79789
2011-08-26,0.79589
2011-08-29,.
2011-08-30,0.79811
2011-08-31,0.80000
2011-09-01,0.80217
2011-09-02,0.80322
2011-09-05,0.80706
2011-09-06,0.81417
2011-09-07,0.81539
2011-09-08,0.81844
2011-09-09,0.82133
2011-09-12,0.82800
2011-09-13,0.83083
2011-09-14,0.83411
2011-09-15,0.83550
2011-09-16,0.83494
2011-09-19,0.83578
2011-09-20,0.83744
2011-09-21,0.83856
2011-09-22,0.84494
2011-09-23,0.84750
2011-09-26,0.85011
2011-09-27,0.85156
2011-09-28,0.85489
2011-09-29,0.85967
2011-09-30,0.86489
2011-10-03,0.86883
2011-10-04,0.87500
2011-10-05,0.88250
2011-10-06,0.88850
2011-10-07,0.89267
2011-10-10,0.89600
2011-10-11,0.90133
2011-10-12,0.90400
2011-10-13,0.90617
2011-10-14,0.90950
2011-10-17,0.91094
2011-10-18,0.91317
2011-10-19,0.91561
2011-10-20,0.91861
2011-10-21,0.92139
2011-10-24,0.92394
2011-10-25,0.92556
2011-10-26,0.92717
2011-10-27,0.93128
2011-10-28,0.93372
2011-10-31,0.93561
2011-11-01,0.93972
2011-11-02,0.94161
2011-11-03,0.94489
2011-11-04,0.94883
2011-11-07,0.95372
2011-11-08,0.95861
2011-11-09,0.96450
2011-11-10,0.97644
2011-11-11,0.98144
2011-11-14,0.98522
2011-11-15,0.99189
2011-11-16,0.99700
2011-11-17,1.00756
2011-11-18,1.01811
2011-11-21,1.02589
2011-11-22,1.03422
2011-11-23,1.04144
2011-11-24,1.04656
2011-11-25,1.05156
2011-11-28,1.06044
2011-11-29,1.06600
2011-11-30,1.07106
2011-12-01,1.06494
2011-12-02,1.06517
2011-12-05,1.07400
2011-12-06,1.07890
2011-12-07,1.08115
