DATE,USD3MTD156N
2011-10-28,0.42944
2011-10-31,0.42944
2011-11-01,0.43167
2011-11-02,0.43306
2011-11-03,0.43500
2011-11-04,0.43750
2011-11-07,0.44139
2011-11-08,0.44417
2011-11-09,0.44917
2011-11-10,0.45278
2011-11-11,0.45722
2011-11-14,0.46056
2011-11-15,0.46556
2011-11-16,0.47111
2011-11-17,0.47944
2011-11-18,0.48778
2011-11-21,0.49500
2011-11-22,0.50028
2011-11-23,0.50611
2011-11-24,0.51167
2011-11-25,0.51806
2011-11-28,0.52306
2011-11-29,0.52694
2011-11-30,0.52889
2011-12-01,0.52722
2011-12-02,0.52833
2011-12-05,0.53390
2011-12-06,0.53775
2011-12-07,0.54000
2011-12-08,0.54000
2011-12-09,0.54175
2011-12-12,0.54350
2011-12-13,0.54625
2011-12-14,0.55505
2011-12-15,0.55915
2011-12-16,0.56315
2011-12-19,0.56695
2011-12-20,0.56975
2011-12-21,0.57125
2011-12-22,0.57375
2011-12-23,0.57575
2011-12-26,.
2011-12-27,.
2011-12-28,0.57925
2011-12-29,0.58100
2011-12-30,0.58100
2012-01-02,.
2012-01-03,0.58250
2012-01-04,0.58250
2012-01-05,0.58250
2012-01-06,0.58150
2012-01-09,0.58050
2012-01-10,0.57950
2012-01-11,0.57650
2012-01-12,0.57150
2012-01-13,0.56700
2012-01-16,0.56490
2012-01-17,0.56230
2012-01-18,0.56120
2012-01-19,0.56120
2012-01-20,0.56110
2012-01-23,0.56010
2012-01-24,0.55910
2012-01-25,0.55660
2012-01-26,0.55310
2012-01-27,0.55110
2012-01-30,0.54685
2012-01-31,0.54235
2012-02-01,0.53710
2012-02-02,0.53060
2012-02-03,0.52700
2012-02-06,0.52325
2012-02-07,0.52000
2012-02-08,0.51325
2012-02-09,0.51000
2012-02-10,0.50600
2012-02-13,0.50260
2012-02-14,0.49760
2012-02-15,0.49510
2012-02-16,0.49310
2012-02-17,0.49310
2012-02-20,0.49310
2012-02-21,0.49260
2012-02-22,0.49160
2012-02-23,0.49060
2012-02-24,0.49060
2012-02-27,0.48910
2012-02-28,0.48750
2012-02-29,0.48425
2012-03-01,0.47970
2012-03-02,0.47575
2012-03-05,0.47455
2012-03-06,0.47455
2012-03-07,0.47455
2012-03-08,0.47355
2012-03-09,0.47355
2012-03-12,0.47355
2012-03-13,0.47365
2012-03-14,0.47365
2012-03-15,0.47365
2012-03-16,0.47365
2012-03-19,0.47365
2012-03-20,0.47415
2012-03-21,0.47415
2012-03-22,0.47365
2012-03-23,0.47315
2012-03-26,0.47265
2012-03-27,0.47065
2012-03-28,0.46965
2012-03-29,0.46815
2012-03-30,0.46815
2012-04-02,0.46815
2012-04-03,0.46915
2012-04-04,0.46915
2012-04-05,0.46915
2012-04-06,.
2012-04-09,.
2012-04-10,0.46915
2012-04-11,0.46865
2012-04-12,0.46665
2012-04-13,0.46615
2012-04-16,0.46565
2012-04-17,0.46565
2012-04-18,0.46565
2012-04-19,0.46565
2012-04-20,0.46565
2012-04-23,0.46565
2012-04-24,0.46585
2012-04-25,0.46585
2012-04-26,0.46585
2012-04-27,0.46585
2012-04-30,0.46585
2012-05-01,0.46585
2012-05-02,0.46585
2012-05-03,0.46585
2012-05-04,0.46585
2012-05-07,.
2012-05-08,0.46585
2012-05-09,0.46685
2012-05-10,0.46685
2012-05-11,0.46685
2012-05-14,0.46585
2012-05-15,0.46585
2012-05-16,0.46685
2012-05-17,0.46685
2012-05-18,0.46685
2012-05-21,0.46685
2012-05-22,0.46685
2012-05-23,0.46685
2012-05-24,0.46685
2012-05-25,0.46685
2012-05-28,0.46685
2012-05-29,0.46685
2012-05-30,0.46685
2012-05-31,0.46685
2012-06-01,0.46785
2012-06-04,.
2012-06-05,.
2012-06-06,0.46785
2012-06-07,0.46785
2012-06-08,0.46785
2012-06-11,0.46785
2012-06-12,0.46785
2012-06-13,0.46785
2012-06-14,0.46785
2012-06-15,0.46785
2012-06-18,0.46785
2012-06-19,0.46785
2012-06-20,0.46760
2012-06-21,0.46760
2012-06-22,0.46160
2012-06-25,0.46060
2012-06-26,0.46060
2012-06-27,0.46060
2012-06-28,0.46060
2012-06-29,0.46060
2012-07-02,0.46060
2012-07-03,0.46060
2012-07-04,0.45960
2012-07-05,0.45960
2012-07-06,0.45760
2012-07-09,0.45760
2012-07-10,0.45760
2012-07-11,0.45610
2012-07-12,0.45510
2012-07-13,0.45510
2012-07-16,0.45510
2012-07-17,0.45510
2012-07-18,0.45510
2012-07-19,0.45310
