DATE,DSWP30
2011-10-28,3.12
2011-10-31,3.00
2011-11-01,2.78
2011-11-02,2.86
2011-11-03,2.87
2011-11-04,2.88
2011-11-07,2.82
2011-11-08,2.83
2011-11-09,2.79
2011-11-10,2.84
2011-11-11,.
2011-11-14,2.86
2011-11-15,2.80
2011-11-16,2.81
2011-11-17,2.78
2011-11-18,2.74
2011-11-21,2.66
2011-11-22,2.66
2011-11-23,2.60
2011-11-24,.
2011-11-25,2.62
2011-11-28,2.70
2011-11-29,2.70
2011-11-30,2.75
2011-12-01,2.81
2011-12-02,2.80
2011-12-05,2.77
2011-12-06,2.75
2011-12-07,2.78
2011-12-08,2.72
2011-12-09,2.72
2011-12-12,2.77
2011-12-13,2.78
2011-12-14,2.66
2011-12-15,2.62
2011-12-16,2.61
2011-12-19,2.58
2011-12-20,2.61
2011-12-21,2.67
2011-12-22,2.67
2011-12-23,2.78
2011-12-26,.
2011-12-27,2.76
2011-12-28,2.67
2011-12-29,2.65
2011-12-30,2.61
2012-01-02,.
2012-01-03,2.69
2012-01-04,2.71
2012-01-05,2.72
2012-01-06,2.72
2012-01-09,2.70
2012-01-10,2.74
2012-01-11,2.71
2012-01-12,2.70
2012-01-13,2.64
2012-01-16,.
2012-01-17,2.62
2012-01-18,2.64
2012-01-19,2.74
2012-01-20,2.80
2012-01-23,2.87
2012-01-24,2.86
2012-01-25,2.85
2012-01-26,2.80
2012-01-27,2.81
2012-01-30,2.70
2012-01-31,2.68
2012-02-01,2.67
2012-02-02,2.71
2012-02-03,2.83
2012-02-06,2.80
2012-02-07,2.85
2012-02-08,2.85
2012-02-09,2.89
2012-02-10,2.81
2012-02-13,2.79
2012-02-14,2.75
2012-02-15,2.74
2012-02-16,2.79
2012-02-17,2.83
2012-02-20,.
2012-02-21,2.87
2012-02-22,2.84
2012-02-23,2.86
2012-02-24,2.81
2012-02-27,2.76
2012-02-28,2.73
2012-02-29,2.78
2012-03-01,2.84
2012-03-02,2.80
2012-03-05,2.81
2012-03-06,2.75
2012-03-07,2.79
2012-03-08,2.86
2012-03-09,2.90
2012-03-12,2.84
2012-03-13,2.90
2012-03-14,3.05
2012-03-15,3.09
2012-03-16,3.13
2012-03-19,3.11
2012-03-20,3.16
2012-03-21,3.11
2012-03-22,3.05
2012-03-23,3.01
2012-03-26,3.08
2012-03-27,3.01
2012-03-28,3.00
2012-03-29,2.98
2012-03-30,2.98
2012-04-02,3.00
2012-04-03,3.02
2012-04-04,3.09
2012-04-05,3.06
2012-04-06,2.91
2012-04-09,2.88
2012-04-10,2.85
2012-04-11,2.88
2012-04-12,2.91
2012-04-13,2.85
2012-04-16,2.81
2012-04-17,2.86
2012-04-18,2.85
2012-04-19,2.82
2012-04-20,2.86
2012-04-23,2.77
2012-04-24,2.83
2012-04-25,2.86
2012-04-26,2.83
2012-04-27,2.86
2012-04-30,2.81
2012-05-01,2.86
2012-05-02,2.82
2012-05-03,2.83
2012-05-04,2.82
2012-05-07,2.78
2012-05-08,2.75
2012-05-09,2.74
2012-05-10,2.80
2012-05-11,2.75
2012-05-14,2.65
2012-05-15,2.64
2012-05-16,2.64
2012-05-17,2.55
2012-05-18,2.53
2012-05-21,2.51
2012-05-22,2.59
2012-05-23,2.51
2012-05-24,2.58
2012-05-25,2.56
2012-05-28,.
2012-05-29,2.56
2012-05-30,2.46
2012-05-31,2.35
2012-06-01,2.30
2012-06-04,2.31
2012-06-05,2.38
2012-06-06,2.41
2012-06-07,2.49
2012-06-08,2.46
2012-06-11,2.49
2012-06-12,2.51
2012-06-13,2.52
2012-06-14,2.47
2012-06-15,2.41
2012-06-18,2.41
2012-06-19,2.44
2012-06-20,2.51
2012-06-21,2.43
2012-06-22,2.47
2012-06-25,2.43
2012-06-26,2.44
2012-06-27,2.46
2012-06-28,2.42
2012-06-29,2.49
2012-07-02,2.44
2012-07-03,2.49
2012-07-04,.
2012-07-05,2.46
2012-07-06,2.44
2012-07-09,2.40
2012-07-10,2.37
2012-07-11,2.35
2012-07-12,2.32
2012-07-13,2.35
2012-07-16,2.29
2012-07-17,2.33
2012-07-18,2.36
2012-07-19,2.35
2012-07-20,2.32
2012-07-23,2.28
2012-07-24,2.28
2012-07-25,2.25
2012-07-26,2.27
2012-07-27,2.37
2012-07-30,2.36
2012-07-31,2.33
2012-08-01,2.38
2012-08-02,2.37
2012-08-03,2.46
2012-08-06,2.42
2012-08-07,2.52
2012-08-08,2.50
2012-08-09,2.57
2012-08-10,2.52
2012-08-13,2.50
2012-08-14,2.57
2012-08-15,2.67
2012-08-16,2.70
2012-08-17,2.69
2012-08-20,2.69
2012-08-21,2.73
2012-08-22,2.63
2012-08-23,2.56
2012-08-24,2.54
2012-08-27,2.53
2012-08-28,2.51
2012-08-29,2.55
2012-08-30,2.52
2012-08-31,2.51
2012-09-03,.
2012-09-04,2.46
2012-09-05,2.49
2012-09-06,2.58
2012-09-07,2.56
2012-09-10,2.63
2012-09-11,2.65
2012-09-12,2.69
2012-09-13,2.69
2012-09-14,2.85
2012-09-17,2.79
2012-09-18,2.74
2012-09-19,2.71
2012-09-20,2.67
2012-09-21,2.70
2012-09-24,2.65
2012-09-25,2.68
2012-09-26,2.57
2012-09-27,2.58
2012-09-28,2.55
2012-10-01,2.62
2012-10-02,2.60
2012-10-03,2.61
2012-10-04,2.63
2012-10-05,2.74
2012-10-08,.
2012-10-09,2.72
2012-10-10,2.73
2012-10-11,2.69
2012-10-12,2.60
2012-10-15,2.61
2012-10-16,2.66
2012-10-17,2.74
2012-10-18,2.72
2012-10-19,2.74
2012-10-22,2.71
2012-10-23,2.66
2012-10-24,2.69
2012-10-25,2.72
2012-10-26,2.67
2012-10-29,2.62
2012-10-30,.
2012-10-31,2.62
2012-11-01,2.64
2012-11-02,2.66
2012-11-05,2.59
2012-11-06,2.62
2012-11-07,2.55
2012-11-08,2.57
2012-11-09,2.51
2012-11-12,.
2012-11-13,2.47
2012-11-14,2.47
2012-11-15,2.47
2012-11-16,2.47
2012-11-19,2.53
2012-11-20,2.54
2012-11-21,2.58
2012-11-22,.
2012-11-23,2.59
2012-11-26,2.55
2012-11-27,2.56
2012-11-28,2.53
2012-11-29,2.58
2012-11-30,2.55
2012-12-03,2.59
2012-12-04,2.55
2012-12-05,2.53
2012-12-06,2.53
2012-12-07,2.58
2012-12-10,2.58
2012-12-11,2.63
2012-12-12,2.64
2012-12-13,2.70
2012-12-14,2.66
2012-12-17,2.67
2012-12-18,2.78
2012-12-19,2.75
2012-12-20,2.77
2012-12-21,2.74
2012-12-24,2.75
2012-12-25,.
2012-12-26,2.75
2012-12-27,2.72
2012-12-28,2.72
2012-12-31,2.74
2013-01-01,.
2013-01-02,2.87
2013-01-03,2.87
2013-01-04,2.93
2013-01-07,2.89
2013-01-08,2.86
2013-01-09,2.86
2013-01-10,2.88
2013-01-11,2.89
2013-01-14,2.83
2013-01-15,2.81
2013-01-16,2.81
2013-01-17,2.87
2013-01-18,2.85
2013-01-21,.
2013-01-22,2.85
2013-01-23,2.81
2013-01-24,2.87
2013-01-25,2.93
2013-01-28,2.99
2013-01-29,2.96
